date,state,shape
1998-10-01,OR,fireball
1998-10-01,WA,disk
1998-10-01,NM,fireball
1998-10-01,CO,light
1998-10-01,CA,sphere
1998-10-01,IL,disk
1998-10-01,CA,fireball
1998-10-01,CA,fireball
1998-10-01,NH,oval
1998-10-01,IA,triangle
1998-10-01,IL,triangle
1998-10-01,WI,other
1999-10-01,TX,fireball
1999-10-01,IL,light
1999-10-01,OR,light
1999-10-01,OH,triangle
1999-10-01,NY,unknown
1999-10-01,OK,cigar
1999-10-01,NV,light
1999-10-01,FL,unknown
1999-10-01,MO,chevron
2000-10-01,WA,formation
2000-10-01,MI,disk
2000-10-01,CA,light
2000-10-01,CA,sphere
2000-10-01,AZ,cigar
2000-10-01,CA,unknown
2000-10-01,OR,unknown
2000-10-01,MD,triangle
2000-10-01,FL,other
2000-10-01,CO,light
2000-10-01,MO,light
2000-10-01,TN,triangle
2000-10-01,NY,diamond
2001-10-01,WA,NA
2001-10-01,MO,light
2001-10-01,MI,triangle
2001-10-01,ME,oval
2001-10-01,NY,changing
2001-10-01,WA,light
2001-10-01,NY,flash
2002-10-01,VA,circle
2002-10-01,CA,oval
2002-10-01,WA,other
2002-10-01,WA,fireball
2002-10-01,WA,sphere
2002-10-01,WA,circle
2002-10-01,CO,triangle
2002-10-01,WA,unknown
2002-10-01,WA,teardrop
2002-10-01,WA,other
2002-10-01,WA,unknown
2002-10-01,WA,fireball
2002-10-01,WA,light
2002-10-01,WI,light
2002-10-01,NY,cigar
2002-10-01,MD,cigar
2002-10-01,AZ,other
2002-10-01,ID,teardrop
2002-10-01,NM,fireball
2002-10-01,WA,fireball
2002-10-01,FL,other
2002-10-01,NY,egg
2002-10-01,NY,light
2002-10-01,CA,other
2002-10-01,WA,unknown
2002-10-01,UT,unknown
2002-10-01,NY,changing
2003-10-01,ME,circle
2003-10-01,WA,light
2003-10-01,CA,other
2003-10-01,MI,unknown
2003-10-01,CA,unknown
2003-10-01,WA,light
2003-10-01,CO,sphere
2003-10-01,OK,other
2003-10-01,MA,circle
2003-10-01,OH,light
2004-10-01,CA,unknown
2004-10-01,NV,cylinder
2004-10-01,NM,oval
2004-10-01,VA,triangle
2004-10-01,AZ,unknown
2004-10-01,MI,sphere
2005-10-01,MO,light
2005-10-01,IL,circle
2005-10-01,IL,light
2005-10-01,IL,diamond
2005-10-01,IL,circle
2005-10-01,IL,light
2005-10-01,IL,light
2005-10-01,IL,light
2005-10-01,IL,changing
2005-10-01,IL,light
2005-10-01,IL,circle
2005-10-01,IL,circle
2005-10-01,IL,formation
2005-10-01,IL,triangle
2005-10-01,IL,triangle
2005-10-01,IL,light
2005-10-01,IL,light
2005-10-01,IL,light
2005-10-01,IL,light
2005-10-01,OH,other
2005-10-01,IL,changing
2005-10-01,IL,triangle
2005-10-01,IL,cylinder
2005-10-01,IL,light
2005-10-01,IL,unknown
2005-10-01,IL,light
2005-10-01,KY,circle
2005-10-01,FL,light
2005-10-01,NM,disk
2005-10-01,FL,sphere
2005-10-01,AZ,oval
2005-10-01,CA,formation
2005-10-01,FL,teardrop
2005-10-01,MN,triangle
2005-10-01,TX,light
2005-10-01,CA,chevron
2005-10-01,CA,unknown
2005-10-01,OH,unknown
2005-10-01,OK,light
2005-10-01,MI,unknown
2005-10-01,IL,light
2006-10-01,MI,oval
2006-10-01,NM,oval
2006-10-01,TX,circle
2006-10-01,CA,other
2006-10-01,NY,rectangle
2006-10-01,SC,circle
2006-10-01,IL,oval
2006-10-01,MO,cigar
2006-10-01,IA,unknown
2006-10-01,WA,chevron
2006-10-01,MD,oval
2006-10-01,NV,fireball
2006-10-01,TX,NA
2006-10-01,WA,fireball
2006-10-01,WA,fireball
2006-10-01,WA,circle
2006-10-01,WA,teardrop
2006-10-01,NY,unknown
2006-10-01,WA,light
2006-10-01,CA,sphere
2006-10-01,NM,fireball
2006-10-01,AZ,fireball
2006-10-01,CO,NA
2006-10-01,NM,changing
2006-10-01,NM,light
2006-10-01,AZ,cylinder
2006-10-01,CO,oval
2006-10-01,CO,light
2006-10-01,CO,circle
2006-10-01,CO,unknown
2006-10-01,CO,fireball
2006-10-01,CO,light
2006-10-01,CO,sphere
2006-10-01,NM,light
2006-10-01,NM,formation
2006-10-01,CO,circle
2006-10-01,CO,sphere
2006-10-01,CO,fireball
2006-10-01,NM,formation
2006-10-01,NM,formation
2006-10-01,CO,formation
2006-10-01,CO,light
2006-10-01,CO,other
2006-10-01,CO,light
2006-10-01,NM,light
2006-10-01,NM,circle
2007-10-01,CA,diamond
2007-10-01,CA,flash
2007-10-01,OH,oval
2007-10-01,NC,light
2007-10-01,IL,oval
2007-10-01,OH,sphere
2007-10-01,NC,triangle
2007-10-01,HI,light
2007-10-01,NC,light
2007-10-01,TX,unknown
2007-10-01,NY,other
2007-10-01,FL,triangle
2007-10-01,CA,flash
2008-10-01,AR,triangle
2008-10-01,OH,cylinder
2008-10-01,NY,disk
2008-10-01,WV,cylinder
2008-10-01,VA,light
2008-10-01,MO,light
2008-10-01,TX,oval
2008-10-01,AL,cigar
2008-10-01,RI,circle
2008-10-01,TX,egg
2008-10-01,CA,light
2008-10-01,WY,unknown
2008-10-01,WA,circle
2008-10-01,TX,other
2008-10-01,NC,circle
2008-10-01,ID,light
2008-10-01,WA,light
2008-10-01,WA,light
2008-10-01,AL,light
2008-10-01,WA,unknown
2008-10-01,IN,triangle
2008-10-01,TX,sphere
2008-10-01,CA,other
2008-10-01,TN,triangle
2009-10-01,GA,disk
2009-10-01,RI,cylinder
2009-10-01,MI,triangle
2009-10-01,OK,light
2009-10-01,TN,oval
2009-10-01,RI,disk
2009-10-01,OH,light
2009-10-01,MS,triangle
2009-10-01,FL,circle
2009-10-01,CT,light
2010-10-01,FL,other
2010-10-01,FL,light
2010-10-01,WI,other
2010-10-01,VA,circle
2010-10-01,TX,disk
2010-10-01,TX,other
2010-10-01,VA,cigar
2010-10-01,NC,light
2010-10-01,OH,triangle
2010-10-01,WA,oval
2010-10-01,CA,unknown
2010-10-01,GA,light
2011-10-01,TX,triangle
2011-10-01,TX,unknown
2011-10-01,MS,circle
2011-10-01,CA,oval
2011-10-01,MO,unknown
2011-10-01,NC,triangle
2011-10-01,OH,sphere
2011-10-01,IL,light
2011-10-01,CA,light
2011-10-01,CA,fireball
2011-10-01,MO,fireball
2011-10-01,MO,fireball
2011-10-01,WA,light
2011-10-01,MS,rectangle
2011-10-01,GA,light
2011-10-01,FL,formation
2012-10-01,TX,unknown
2012-10-01,CO,light
2012-10-01,AZ,light
2012-10-01,FL,formation
2012-10-01,CA,light
2012-10-01,IL,fireball
2012-10-01,OR,light
2012-10-01,CA,fireball
2012-10-01,WI,other
2012-10-01,MI,unknown
2012-10-01,CA,light
2012-10-01,MN,triangle
2012-10-01,IN,fireball
2012-10-02,MI,triangle
2013-10-01,CO,triangle
2013-10-01,MD,flash
2013-10-01,CA,circle
2013-10-01,IN,triangle
2013-10-01,PA,unknown
2013-10-01,PA,unknown
2013-10-01,CO,light
2013-10-01,LA,unknown
2013-10-01,NY,sphere
2013-10-01,FL,light
2013-10-01,FL,light
2013-10-01,GA,fireball
